filename	gen_size	gen_count	morph_filename	nw_func	nw_kwargs	connectedness	discrete	whole_lex	h_space_incr	lexeme_count	zipf_max	prod_size	rand_tf	lexeme_dist_shape	prior_weight
test_2017-12-22T04-08-42___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T04-19-07___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T04-51-04___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T05-04-22___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T05-17-46___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T05-51-21___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T06-03-22___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T06-33-02___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T06-58-49___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T07-04-44___50_10_7_100000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T07-44-28___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T08-11-15___50_10_7_100000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T08-23-27___50_10_7_30000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T09-09-28___50_10_7_40000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T09-12-10___50_10_7_30000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T09-45-11___50_10_7_30000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T10-08-17___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T10-25-11___50_10_7_40000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T10-49-27___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T10-51-56___50_10_7_40000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T11-00-11___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T11-36-26___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T11-37-04___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T11-42-14___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T12-35-11___50_10_7_100000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T12-40-39___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T12-50-36___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T13-57-26___50_10_7_100000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T14-08-38___50_10_7_30000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T14-37-16___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T14-48-33___50_10_7_40000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T14-55-09___50_10_7_30000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T15-24-24___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T15-24-35___50_10_7_40000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T15-44-29___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T15-57-56___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T16-10-31___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T16-37-31___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T17-00-03___50_10_7_30000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T17-05-44___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T17-30-37___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T18-06-55___50_10_7_100000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T18-16-05___50_10_7_40000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T18-19-25___50_10_7_100000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T19-08-26___50_10_7_30000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T19-19-17___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T19-28-43___50_10_7_30000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-22T19-45-32___50_10_7_40000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T19-57-07___50_10_7_40000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-22T20-12-28___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T20-24-43___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T20-34-10___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-22T21-08-54___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T21-11-57___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T21-12-31___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-22T21-59-29___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T21-59-51___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-22T22-05-31___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T22-46-22___50_10_7_100000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T22-50-16___50_10_7_100000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-22T23-31-56___50_10_7_30000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-23T00-41-39___50_10_7_40000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-23T01-27-24___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-23T02-17-26___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-23T02-46-05___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-23T03-19-07___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-23T04-09-19___50_10_7_30000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	None
test_2017-12-23T04-53-42___50_10_7_40000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	None
test_2017-12-23T05-28-27___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	None
test_2017-12-23T05-55-03___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	None
test_2017-12-23T06-26-37___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	None
test_2017-12-23T07-03-40___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	None
test_2017-12-18T17-17-51___50_10_7_30000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-18T17-18-03___50_10_7_30000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-18T17-18-31___50_10_7_30000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-18T17-50-02___50_10_7_40000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
test_2017-12-18T17-59-21___50_10_7_40000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
test_2017-12-18T18-26-15___50_10_7_50000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-18T18-27-01___50_10_7_40000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
test_2017-12-18T18-44-57___50_10_7_50000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-18T19-05-30___50_10_7_60000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-18T19-36-43___50_10_7_60000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-18T19-40-57___50_10_7_50000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	50000	True	flat	proportion_of_lex
test_2017-12-18T19-53-29___50_10_7_70000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-18T20-32-38___50_10_7_70000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-18T20-42-15___50_10_7_60000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	60000	True	flat	proportion_of_lex
test_2017-12-18T20-42-49___50_10_7_100000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	proportion_of_lex
test_2017-12-18T21-29-24___50_10_7_100000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	proportion_of_lex
test_2017-12-18T21-55-13___50_10_7_30000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-18T22-06-15___50_10_7_70000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	70000	True	flat	proportion_of_lex
test_2017-12-18T22-27-50___50_10_7_40000_0.05_rand_data_6.02	50	10	artificial-data/data_6.02.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
test_2017-12-18T22-30-28___50_10_7_30000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	30000	True	flat	proportion_of_lex
test_2017-12-18T22-59-04___50_10_7_100000_0.05_rand_data_6.05	50	10	artificial-data/data_6.05.txt	nan	nan	nan	True	True	7	1000	100	100000	True	flat	proportion_of_lex
test_2017-12-18T23-00-33___50_10_7_40000_0.05_rand_data_6.08	50	10	artificial-data/data_6.08.txt	nan	nan	nan	True	True	7	1000	100	40000	True	flat	proportion_of_lex
