typeFreq	Stem1	Stem2	Stem3	Stem4	Stem5	Stem6	Stem7	Stem8	Stem9	Stem10	Stem10a	Stem11	Stem12	Stem13	Stem14	Stem15	Stem16	Stem17	Stem18	Stem19
30	-jɛ̃	 -jɛ̃	  -ən	  -ən	  -jɛn	  -ən	  -ənj	-ɛ̃	 -ɛ̃	-jɛ̃d	-jɛ̃dʁi	 -jɛn	 -ənj	 -jɛ̃	-ən	-ən	-əniʁ	-ən	-əny	-əny
5	-jɛʁ	-jɛʁ	-eʁ	-eʁ	-jɛʁ	-eʁ	-eʁj	-i	-i	-eʁ	-eʁʁ	-jɛʁ	-eʁj	-jɛʁ	-eʁ	-eʁ	-eʁiʁ	-ɛʁ	-i	-iz
12	-	-	-t	-t	-t	-t	-tj	-ti	-ti	-ti	-tiʁ	-t	-tj	-	-t	-t	-tiʁ	-t	-ti	-ti
4	-	-	-t	-t	-t	-t	-tj	-ti	-ti	-ti	-tiʁ	-t	-tj	-	-t	-t	-tiʁ	-t	-ty	-ty
10	-ʁ	-ʁ	-ʁ	-ʁ	-ʁ	-ʁ	-ʁij	-ʁi	-ʁi	-ʁi	-ʁiʁ	-ʁ	-ʁij	-ʁ	-ʁ	-ʁ	-ʁiʁ	-ʁ	-ɛʁ	-ɛʁt
3	-œj	-œj	-øj	-øj	-œj	-øj	-øj	-øji	-øji	-œjə	-œjəʁ	-œj	-øj	-œj	-øj	-øj	-øjiʁ	-øj	-øji	-øji
4	-	-	-	-	-	-	-	-i	-i	-i	-iʁ	-	-	-	-	-	-iʁ	-	-i	-i
2	-	-	-j	-j	-j	-j	-j	-ji	-ji	-ji	-jiʁ	-j	-j	-	-j	-j	-jiʁ	-j	-ji	-ji
3	-	-	-m	-m	-m	-m	-mj	-mi	-mi	-mi	-miʁ	-m	-mj	-	-m	-m	-miʁ	-m	-mi	-mi
8	-	-	-	-	-	-	-j	-y	-y	-	-ʁ	-	-j	-	-	-	-iʁ	-	-y	-y
1	-œʁ	-œʁ	-uʁ	-uʁ	-œʁ	-uʁ	-uʁj	-uʁy	-uʁy	-uʁ	-uʁʁ	-œʁ	-uʁj	-œʁ	-uʁ	-uʁ	-uʁiʁ	-uʁ	-ɔʁ	-ɔʁt
3	-	-	-v	-v	-v	-v	-vj	-vi	-vi	-vi	-viʁ	-v	-vj	-	-v	-v	-viʁ	-v	-vi	-vi
2	-	-	-j	-j	-	-j	-j	-	-	-	-ʁ	-	-j	-	-j	-j	-ʁ	-j	-	-
5	-wa	-wa	-əv	-əv	-wav	-əv	-əvj	-y	-y	-əv	-əvʁi	-wav	-əvj	-wa	-əv	-əv	-əvwaʁ	-əv	-y	-y
4	-wa	-wa	-waj	-waj	-wa	-waj	-waj	-i	-i	-ɛ	-ɛʁ	-wa	-waj	-wa	-waj	-waj	-waʁ	-waj	-y	-y
2	-wa	-wa	-waj	-waj	-wa	-waj	-waj	-y	-y	-wa	-waʁ	-wa	-waj	-wa	-waj	-waj	-waʁ	-waj	-y	-y
1	-ɛ	-ɛ	-av	-av	-av	-av	-avj	-y	-y	-o	-oʁ	-aʃ	-aʃj	-aʃ	-aʃ	-aʃ	-avwaʁ	-aʃ	-y	-y
2	-wa	-wa	-əv	-əv	-wav	-əv	-əvj	-y	-y	-əv	-əvʁi	-wav	-əvj	-wa	-əv	-əv	-əvwaʁ	-əv	-y	-y
1	-ø	-ø	-uv	-uv	-œv	-uv	-uvj	-y	-y	-u	-uʁ	-ɥis	-ɥisj	-ø	-uv	-uv	-uvwaʁ	-uv	-y	-y
3	-ø	-ø	-uv	-uv	-œv	-uv	-uvj	-y	-y	-uv	-uvʁi	-œv	-uvj	-ø	-uv	-uv	-uvwaʁ	-uv	-y	-y
4	-o	-o	-al	-al	-al	-al	-alj	-aly	-aly	-od	-odʁi	-aj	-alj	-o	-al	-al	-alwaʁ	-al	-aly	-aly
1	-ø	-ø	-ul	-ul	-œl	-ul	-ulj	-uly	-uly	-ud	-udʁi	-œj	-ulj	-ø	-ul	-ul	-ulwaʁ	-ul	-uly	-uly
2	-wa	-wa	-waj	-waj	-wa	-waj	-waj	-i	-i	-wa	-waʁ	-wa	-waj	-wa	-waj	-waj	-waʁ	-waj	-i	-iz
2	-je	-je	-ɛj	-ɛj	-ɛj	-ɛj	-ɛj	-i	-i	-je	-jeʁ	-ɛj	-ɛj	-je	-ɛj	-ɛj	-waʁ	-ɛj	-i	-iz
1	-wa	-wa	-waj	-waj	-wa	-waj	-waj	-i	-i	-wa	-waʁ	-wa	-waj	-wa	-waj	-waj	-waʁ	-waj	-i	-iz
52	-	-	-d	-d	-d	-d	-dj	-di	-di	-d	-dʁi	-d	-dj	-	-d	-d	-dʁ	-d	-dy	-dy
11	-ɑ̃	 -ɑ̃	  -ən	  -ən	  -ɛn	  -ən	  -ənj	-i	-i	-ɑ̃d	-ɑ̃dʁi	 -ɛn	 -ənj	 -ɑ̃	-ən	-ən	-ɑ̃dʁ	 -ən	 -i	 -iz
9	-	-	-t	-t	-t	-t	-tj	-ti	-ti	-t	-tʁi	-t	-tj	-	-t	-t	-tʁ	-t	-ty	-ty
15	-ɛ	-ɛ	-ɛt	-ɛt	-ɛt	-ɛt	-ɛtj	-i	-i	-ɛt	-ɛtʁi	-ɛt	-ɛtj	-ɛ	-ɛt	-ɛt	-ɛtʁ	-ɛt	-i	-iz
17	-ɛ̃	 -ɛ̃	  -ɛɲ	  -ɛɲ	  -ɛɲ	  -ɛɲ	  -ɛɲ	-ɛɲi	-ɛɲi	-ɛ̃d	-ɛ̃dʁi	 -ɛɲ	 -ɛɲ	 -ɛ̃	-ɛɲ	-ɛɲ	-ɛ̃dʁ	 -ɛɲ	 -ɛ̃	  -ɛ̃t
8	-ɛ̃	 -ɛ̃	  -aɲ	  -aɲ	  -aɲ	  -aɲ	  -aɲ	-aɲi	-aɲi	-ɛ̃d	-ɛ̃dʁi	 -aɲ	 -aɲ	 -ɛ̃	-aɲ	-aɲ	-ɛ̃dʁ	 -aɲ	 -ɛ̃	  -ɛ̃t
3	-ɛ̃	 -ɛ̃	  -ɛɲ	  -ɛɲ	  -ɛɲ	  -ɛɲ	  -ɛɲ	-ɛɲi	-ɛɲi	-ɛ̃d	-ɛ̃dʁi	 -ɛɲ	 -ɛɲ	 -ɛ̃	-ɛɲ	-ɛɲ	-ɛ̃dʁ	 -ɛɲ	 -ɛ̃	  -ɛ̃t
2	-	-	-k	-k	-k	-k	-kj	-ki	-ki	-k	-kʁi	-k	-kj	-	-k	-k	-kʁ	-k	-ky	-ky
11	-ɛ	-ɛ	-əz	!fɛt	-ɔ̃	 -əz	 -əzj	-i	-i	-ə	-əʁ	-as	-asj	-ɛ	-əz	!fɛt	-ɛʁ	-əz	-ɛ	-ɛt
4	-ɛ	-ɛ	-ɛz	-ɛz	-ɛz	-ɛz	-ɛzj	-y	-y	-ɛ	-ɛʁ	-ɛz	-ɛzj	-ɛ	-ɛz	-ɛz	-ɛʁ	-ɛz	-y	-y
11	-ɛ	-ɛ	-ɛs	-ɛs	-ɛs	-ɛs	-ɛsj	-y	-y	-ɛt	-ɛtʁi	-ɛs	-ɛsj	-ɛ	-ɛs	-ɛs	-ɛtʁ	-ɛs	-y	-y
2	-ɛ	-ɛ	-ɛs	-ɛs	-ɛs	-ɛs	-ɛsj	-aki	-aki	-ɛt	-ɛtʁi	-ɛs	-ɛsj	-ɛ	-ɛs	-ɛs	-ɛtʁ	-ɛs	-e	-e
1	-ɛ	-ɛ	-ɛs	-ɛs	-ɛs	-ɛs	-ɛsj	-y	-y	-ɛt	-ɛtʁi	-ɛs	-ɛsj	-ɛ	-ɛs	-ɛs	-ɛtʁ	-ɛs	-y	-y
